Item_Type,Item_MRP,PED
Breads,140.95266852589643,1.115375559138724
Breakfast,141.78815090909092,-7.066607598417426
Canned,139.76383204930661,-3.7606841214351623
Dairy,148.49920762463344,0.05283189348699953
Frozen Foods,138.50336612149533,0.6632704156502834
Fruits and Vegetables,144.5812345779221,1.6682626262933757
Hard Drinks,137.07792803738317,1.2609229790799348
Health and Hygiene,130.81892076923077,1.3229413612489216
Household,149.4247531868132,0.8702576507813973
Meat,139.88203247058823,0.6918850057248037
Others,132.8514295857988,2.1457316968659423
Seafood,141.84171875,3.0682071217141527
Snack Foods,146.19493366666666,-0.6828018754251899
Soft Drinks,131.49250561797754,1.182452141264886
Starchy Foods,147.83802297297296,1.4746779677695847
