Item_Type,Initial_Price,DQN_New_Price,Avg_Outlet_Sales,Original_Revenue,DQN_Revenue,Revenue_Change (%)
Breads,140.95266852589643,155.04793537848607,2204.1322262948206,310678.31908017996,341746.150988198,10.000000000000012
Breakfast,141.78815090909092,141.78815090909092,2111.808650909091,299429.44368622184,299429.44368622184,0.0
Canned,139.7638320493066,125.78744884437592,2225.19490385208,311001.7668189551,279901.5901370595,-10.000000000000018
Dairy,148.49920762463344,141.07424724340177,2232.5425970674487,331530.8066527574,314954.26632011955,-4.999999999999992
Frozen Foods,138.50336612149533,152.35370273364487,2132.867743691589,295409.36199324386,324950.29819256824,9.999999999999998
Fruits and Vegetables,144.5812345779221,130.1231111201299,2289.0095915584416,330947.83270822465,297853.0494374022,-9.99999999999999
Hard Drinks,137.07792803738317,123.37013523364486,2139.2216224299063,293240.0676154608,263916.0608539147,-9.999999999999998
Health and Hygiene,130.81892076923077,117.7370286923077,2010.0002650000001,262946.0654131679,236651.4588718511,-9.999999999999998
Household,149.4247531868132,164.36722850549455,2258.78430021978,337518.28656258923,371270.1152188482,10.000000000000021
Meat,139.88203247058823,153.87023571764706,2158.9779105882353,302002.21819218626,332202.4400114049,10.00000000000001
Others,132.8514295857988,119.56628662721891,1926.139701775148,255890.4129627926,230301.37166651333,-10.0
Seafood,141.84171875,134.7496328125,2326.065928125,329933.189171064,313436.5297125108,-4.999999999999996
Snack Foods,146.19493366666666,160.81442703333337,2277.3217391666667,332932.90059512877,366226.1906546418,10.000000000000037
Soft Drinks,131.49250561797754,144.6417561797753,2006.5117348314607,263841.25556486374,290225.3811213501,9.999999999999998
Starchy Foods,147.83802297297296,140.4461218243243,2374.332772972973,351016.663036261,333465.8298844479,-5.000000000000006
